age,job,marital,education,balance,contact,day,month,campaign,pdays,previous,poutcome,default_num,deposit_num,loan_num,housing_num,duration_min
44,technician,married,tertiary,4580,unknown,15,may,2,-1,0,unknown,0,1,0,1,15.183333333333334
60,services,single,primary,313,unknown,15,may,2,-1,0,unknown,0,1,0,1,15.333333333333334
29,management,married,tertiary,10576,unknown,15,may,2,-1,0,unknown,0,1,0,0,20.4
41,retired,divorced,primary,-233,unknown,15,may,2,-1,0,unknown,0,1,0,1,19.266666666666666
41,blue-collar,married,primary,2453,unknown,15,may,1,-1,0,unknown,0,1,0,1,17.533333333333335
42,technician,single,secondary,1364,unknown,15,may,6,-1,0,unknown,0,1,0,1,31.116666666666667
36,services,single,unknown,281,unknown,16,may,1,-1,0,unknown,0,1,0,1,8.583333333333334
39,technician,married,tertiary,94,unknown,16,may,1,-1,0,unknown,0,1,1,1,13.55
31,self-employed,single,tertiary,144,unknown,16,may,1,-1,0,unknown,0,1,0,1,11.266666666666667
26,blue-collar,married,secondary,246,unknown,16,may,3,-1,0,unknown,0,1,0,1,19.05
31,blue-collar,married,secondary,92,unknown,16,may,1,-1,0,unknown,0,1,0,1,11.466666666666667
29,admin.,single,secondary,163,unknown,16,may,1,-1,0,unknown,0,1,1,1,13.383333333333333
37,services,divorced,secondary,49,unknown,16,may,2,-1,0,unknown,0,1,0,1,10.316666666666666
33,blue-collar,single,secondary,-416,unknown,16,may,2,-1,0,unknown,0,1,0,1,12.783333333333333
24,technician,single,secondary,409,unknown,16,may,1,-1,0,unknown,0,1,0,1,15.2
50,admin.,divorced,secondary,363,unknown,16,may,1,-1,0,unknown,0,1,0,1,22.333333333333332
27,technician,single,tertiary,3706,unknown,16,may,1,-1,0,unknown,0,1,0,1,14.95
54,management,single,tertiary,4393,unknown,16,may,3,-1,0,unknown,0,1,0,1,21.616666666666667
30,technician,single,secondary,863,unknown,16,may,5,-1,0,unknown,0,1,0,1,19.883333333333333
34,blue-collar,married,primary,695,unknown,16,may,4,-1,0,unknown,0,1,1,1,17.733333333333334
37,management,single,secondary,792,unknown,16,may,4,-1,0,unknown,0,1,0,1,19.783333333333335
41,admin.,single,secondary,1020,unknown,19,may,1,-1,0,unknown,0,1,0,1,14.7
47,blue-collar,married,secondary,863,unknown,19,may,2,-1,0,unknown,0,1,0,1,15.716666666666667
31,admin.,married,secondary,97,unknown,19,may,1,-1,0,unknown,0,1,0,1,10.116666666666667
31,blue-collar,married,secondary,754,unknown,19,may,4,-1,0,unknown,0,1,0,1,17.033333333333335
43,services,divorced,secondary,1040,unknown,19,may,3,-1,0,unknown,0,1,0,1,9.2
37,management,divorced,tertiary,122,unknown,19,may,2,-1,0,unknown,0,1,0,1,27.033333333333335
30,technician,single,tertiary,880,unknown,19,may,6,-1,0,unknown,0,1,1,1,16.116666666666667
41,technician,married,secondary,501,unknown,19,may,5,-1,0,unknown,0,1,0,1,9.65
36,blue-collar,married,secondary,4438,unknown,20,may,1,-1,0,unknown,0,1,0,1,7.433333333333334
35,blue-collar,divorced,secondary,0,unknown,20,may,1,-1,0,unknown,0,1,0,1,20.083333333333332
29,services,single,secondary,271,unknown,20,may,2,-1,0,unknown,0,1,0,1,31.366666666666667
35,blue-collar,married,primary,102,unknown,20,may,1,-1,0,unknown,0,1,0,1,22.233333333333334
31,blue-collar,married,secondary,2,unknown,20,may,2,-1,0,unknown,0,1,0,1,3.033333333333333
35,services,married,secondary,4170,unknown,20,may,1,-1,0,unknown,0,1,0,1,29.616666666666667
34,technician,single,secondary,85,unknown,20,may,4,-1,0,unknown,0,1,0,1,19.7
31,admin.,single,secondary,431,unknown,20,may,1,-1,0,unknown,0,1,1,1,17.416666666666668
44,technician,divorced,secondary,982,unknown,20,may,3,-1,0,unknown,0,1,0,1,10.833333333333334
36,blue-collar,married,primary,408,unknown,20,may,2,-1,0,unknown,0,1,1,1,17.716666666666665
35,blue-collar,married,unknown,4822,unknown,20,may,2,-1,0,unknown,0,1,0,1,14.05
41,blue-collar,married,primary,1250,unknown,20,may,2,-1,0,unknown,0,1,0,1,23.2
31,blue-collar,single,primary,216,unknown,21,may,1,-1,0,unknown,0,1,0,1,9.416666666666666
34,blue-collar,married,secondary,1207,unknown,21,may,1,-1,0,unknown,0,1,0,1,15.083333333333334
32,technician,married,secondary,791,unknown,21,may,2,-1,0,unknown,0,1,0,1,13.05
36,management,married,tertiary,849,unknown,21,may,2,-1,0,unknown,0,1,1,1,15.966666666666667
30,blue-collar,single,secondary,239,unknown,21,may,1,-1,0,unknown,1,1,0,1,6.866666666666666
37,technician,single,secondary,1211,unknown,21,may,1,-1,0,unknown,0,1,0,1,13.25
36,blue-collar,married,primary,599,unknown,21,may,2,-1,0,unknown,0,1,0,1,10.816666666666666
31,management,single,tertiary,825,unknown,21,may,2,-1,0,unknown,0,1,0,1,8.433333333333334
27,technician,married,secondary,2183,unknown,21,may,1,-1,0,unknown,0,1,1,1,14.283333333333333
34,retired,married,primary,4499,unknown,21,may,1,-1,0,unknown,0,1,0,0,28.016666666666666
30,technician,single,tertiary,1289,unknown,21,may,2,-1,0,unknown,0,1,0,1,28.283333333333335
32,technician,single,tertiary,4665,unknown,21,may,2,-1,0,unknown,0,1,0,1,14.333333333333334
37,technician,single,secondary,3326,unknown,21,may,1,-1,0,unknown,0,1,0,1,13.316666666666666
32,blue-collar,married,secondary,783,unknown,21,may,3,-1,0,unknown,0,1,0,1,15.383333333333333
33,blue-collar,married,secondary,0,unknown,21,may,3,-1,0,unknown,0,1,0,1,8.683333333333334
35,blue-collar,married,primary,994,unknown,23,may,8,-1,0,unknown,0,1,0,1,22.483333333333334
35,self-employed,divorced,tertiary,1354,unknown,23,may,2,-1,0,unknown,0,1,0,1,12.266666666666667
30,blue-collar,single,secondary,239,unknown,23,may,1,-1,0,unknown,0,1,0,1,13.083333333333334
45,blue-collar,divorced,primary,-311,unknown,23,may,1,-1,0,unknown,0,1,0,1,17.166666666666668
45,admin.,married,secondary,149,unknown,23,may,3,-1,0,unknown,0,1,0,1,14.883333333333333
33,blue-collar,married,secondary,1464,unknown,23,may,3,-1,0,unknown,0,1,0,1,9.8
44,management,divorced,tertiary,5773,unknown,23,may,6,-1,0,unknown,0,1,0,0,9.95
40,blue-collar,married,primary,278,unknown,23,may,3,-1,0,unknown,0,1,0,1,16.916666666666668
31,blue-collar,married,secondary,2910,unknown,23,may,2,-1,0,unknown,0,1,0,1,23.2
30,technician,married,tertiary,541,unknown,26,may,2,-1,0,unknown,0,1,0,1,6.9
44,technician,divorced,secondary,1262,unknown,26,may,11,-1,0,unknown,0,1,0,1,13.133333333333333
34,services,married,secondary,-538,unknown,26,may,1,-1,0,unknown,0,1,0,1,11.366666666666667
37,blue-collar,married,secondary,125,unknown,26,may,2,-1,0,unknown,0,1,0,0,11.316666666666666
28,self-employed,single,tertiary,0,unknown,26,may,2,-1,0,unknown,0,1,0,1,26.0
32,admin.,single,secondary,620,unknown,26,may,3,-1,0,unknown,0,1,0,1,20.566666666666666
37,blue-collar,divorced,secondary,316,unknown,26,may,2,-1,0,unknown,0,1,0,1,10.7
34,management,married,tertiary,2287,unknown,26,may,4,-1,0,unknown,0,1,0,1,14.916666666666666
38,admin.,divorced,secondary,198,unknown,26,may,2,-1,0,unknown,0,1,0,1,7.183333333333334
28,admin.,single,secondary,460,unknown,26,may,6,-1,0,unknown,0,1,0,1,12.35
31,management,divorced,tertiary,1145,unknown,26,may,4,-1,0,unknown,0,1,0,1,21.2
59,services,married,secondary,-22,unknown,26,may,3,-1,0,unknown,0,1,0,1,12.466666666666667
24,blue-collar,married,secondary,685,unknown,26,may,3,-1,0,unknown,0,1,0,1,14.933333333333334
26,services,single,secondary,901,unknown,26,may,2,-1,0,unknown,0,1,0,1,12.733333333333333
59,retired,single,secondary,351,unknown,27,may,5,-1,0,unknown,0,1,0,1,17.716666666666665
30,entrepreneur,single,primary,0,unknown,27,may,1,-1,0,unknown,0,1,1,1,17.516666666666666
37,admin.,married,secondary,274,unknown,27,may,3,-1,0,unknown,0,1,0,1,12.183333333333334
30,admin.,single,secondary,-213,unknown,27,may,1,-1,0,unknown,0,1,1,1,12.516666666666667
25,blue-collar,married,secondary,97,unknown,27,may,1,-1,0,unknown,0,1,0,1,11.816666666666666
44,services,divorced,secondary,51,unknown,27,may,2,-1,0,unknown,0,1,1,1,51.56666666666667
29,management,married,tertiary,314,unknown,28,may,2,-1,0,unknown,0,1,0,0,15.633333333333333
26,management,single,tertiary,6840,unknown,28,may,2,-1,0,unknown,0,1,0,1,26.0
26,technician,single,secondary,668,unknown,28,may,3,-1,0,unknown,0,1,0,1,9.6
27,services,single,secondary,54,unknown,28,may,2,-1,0,unknown,0,1,0,1,9.05
25,self-employed,single,secondary,1242,unknown,28,may,2,-1,0,unknown,0,1,0,1,10.25
28,management,married,secondary,292,unknown,28,may,1,-1,0,unknown,0,1,0,1,8.45
23,services,single,secondary,665,unknown,28,may,1,-1,0,unknown,0,1,0,1,19.716666666666665
34,management,single,tertiary,1058,unknown,28,may,2,-1,0,unknown,0,1,0,1,14.4
28,student,single,secondary,949,unknown,28,may,1,-1,0,unknown,0,1,0,1,28.833333333333332
51,entrepreneur,married,unknown,606,unknown,28,may,9,-1,0,unknown,0,1,0,1,9.333333333333334
35,blue-collar,married,secondary,0,unknown,29,may,1,-1,0,unknown,0,1,1,1,9.05
35,admin.,married,secondary,404,unknown,29,may,1,-1,0,unknown,0,1,0,1,8.983333333333333
56,blue-collar,married,secondary,249,unknown,29,may,2,-1,0,unknown,0,1,0,1,13.183333333333334
45,unemployed,divorced,secondary,3354,unknown,29,may,1,-1,0,unknown,0,1,0,1,12.433333333333334
60,blue-collar,divorced,secondary,0,unknown,29,may,1,-1,0,unknown,0,1,0,1,20.116666666666667
56,technician,married,secondary,589,unknown,29,may,2,-1,0,unknown,0,1,0,1,8.916666666666666
27,management,single,tertiary,12956,unknown,29,may,3,-1,0,unknown,0,1,0,1,13.15
30,admin.,married,secondary,873,unknown,29,may,3,-1,0,unknown,0,1,0,1,13.2
45,blue-collar,divorced,primary,594,unknown,29,may,2,-1,0,unknown,0,1,0,1,13.883333333333333
29,blue-collar,single,secondary,-20,unknown,29,may,2,-1,0,unknown,0,1,0,1,13.566666666666666
38,management,divorced,tertiary,4692,unknown,29,may,2,-1,0,unknown,0,1,0,1,22.716666666666665
30,blue-collar,married,secondary,486,unknown,29,may,3,-1,0,unknown,0,1,0,1,18.483333333333334
44,blue-collar,single,primary,1593,unknown,29,may,3,-1,0,unknown,0,1,0,1,13.8
36,management,single,tertiary,7606,unknown,30,may,1,-1,0,unknown,0,1,0,1,15.283333333333333
38,technician,married,secondary,226,unknown,30,may,3,-1,0,unknown,0,1,0,1,12.7
36,blue-collar,single,secondary,366,unknown,30,may,2,-1,0,unknown,0,1,1,1,18.883333333333333
37,management,divorced,secondary,16,unknown,30,may,1,-1,0,unknown,0,1,0,1,10.633333333333333
35,management,single,tertiary,565,unknown,30,may,1,-1,0,unknown,0,1,0,1,12.716666666666667
38,admin.,divorced,secondary,19,unknown,30,may,2,-1,0,unknown,0,1,0,1,10.066666666666666
40,services,married,primary,1082,unknown,30,may,2,-1,0,unknown,0,1,0,1,14.233333333333333
42,unemployed,divorced,secondary,1713,unknown,30,may,2,-1,0,unknown,0,1,0,1,14.25
46,management,divorced,tertiary,14481,unknown,30,may,1,-1,0,unknown,0,1,0,1,21.15
35,technician,divorced,secondary,5724,unknown,30,may,10,-1,0,unknown,0,1,0,1,11.516666666666667
34,technician,divorced,secondary,1451,unknown,30,may,15,-1,0,unknown,0,1,0,1,18.283333333333335
32,services,married,secondary,-34,unknown,30,may,2,-1,0,unknown,0,1,0,1,20.6
50,unemployed,married,secondary,3674,unknown,30,may,3,-1,0,unknown,0,1,0,1,14.766666666666667
35,blue-collar,married,secondary,698,unknown,30,may,3,-1,0,unknown,0,1,1,1,22.383333333333333
36,technician,single,secondary,4136,unknown,30,may,3,-1,0,unknown,0,1,0,1,13.533333333333333
53,blue-collar,divorced,primary,2656,unknown,30,may,2,-1,0,unknown,0,1,0,1,33.0
46,management,single,tertiary,2904,unknown,30,may,2,-1,0,unknown,0,1,0,1,16.4
26,management,single,tertiary,1004,unknown,30,may,2,-1,0,unknown,0,1,0,1,3.8
45,technician,single,secondary,410,unknown,30,may,4,-1,0,unknown,0,1,0,1,14.85
31,unemployed,divorced,primary,0,unknown,30,may,12,-1,0,unknown,0,1,0,1,12.416666666666666
29,management,single,tertiary,0,unknown,30,may,12,-1,0,unknown,0,1,0,1,8.983333333333333
53,entrepreneur,single,secondary,62,unknown,30,may,5,-1,0,unknown,0,1,0,1,17.4
27,blue-collar,married,primary,416,unknown,30,may,2,-1,0,unknown,0,1,0,1,19.883333333333333
39,management,married,tertiary,2763,unknown,2,jun,2,-1,0,unknown,0,1,0,1,8.766666666666667
36,services,married,secondary,2984,unknown,2,jun,1,-1,0,unknown,0,1,0,1,6.566666666666666
41,blue-collar,married,primary,143,unknown,2,jun,2,-1,0,unknown,0,1,1,1,10.983333333333333
36,services,married,primary,0,unknown,2,jun,1,-1,0,unknown,0,1,0,1,17.266666666666666
32,technician,married,secondary,696,unknown,2,jun,1,-1,0,unknown,0,1,0,1,13.583333333333334
35,services,married,secondary,152,unknown,2,jun,1,-1,0,unknown,0,1,0,1,9.383333333333333
36,management,single,tertiary,-78,unknown,2,jun,1,-1,0,unknown,0,1,0,1,17.8
35,management,married,tertiary,867,unknown,2,jun,3,-1,0,unknown,0,1,0,1,3.8333333333333335
30,blue-collar,single,secondary,953,unknown,2,jun,2,-1,0,unknown,0,1,0,1,12.45
42,blue-collar,married,secondary,443,unknown,2,jun,5,-1,0,unknown,0,1,0,1,11.183333333333334
42,technician,single,secondary,-1129,unknown,2,jun,5,-1,0,unknown,1,1,0,1,9.25
32,blue-collar,married,primary,415,unknown,2,jun,4,-1,0,unknown,0,1,0,1,12.95
29,blue-collar,single,secondary,260,unknown,2,jun,14,-1,0,unknown,0,1,0,1,11.783333333333333
44,management,divorced,tertiary,-411,unknown,2,jun,4,-1,0,unknown,1,1,0,1,7.2
32,technician,single,secondary,1279,unknown,3,jun,3,-1,0,unknown,0,1,0,1,19.55
31,unemployed,married,secondary,86,unknown,3,jun,2,-1,0,unknown,0,1,1,1,16.05
40,self-employed,married,secondary,-754,unknown,3,jun,3,-1,0,unknown,1,1,1,1,15.683333333333334
43,entrepreneur,married,secondary,0,unknown,3,jun,7,-1,0,unknown,0,1,0,0,17.083333333333332
27,management,single,secondary,178,unknown,3,jun,2,-1,0,unknown,0,1,0,1,12.2
37,services,single,secondary,278,unknown,3,jun,3,-1,0,unknown,0,1,0,1,17.416666666666668
23,services,single,secondary,425,unknown,3,jun,1,-1,0,unknown,0,1,0,1,12.8
25,management,married,primary,168,unknown,3,jun,1,-1,0,unknown,0,1,0,1,13.35
26,blue-collar,single,secondary,-36,unknown,3,jun,2,-1,0,unknown,1,1,0,1,8.033333333333333
47,blue-collar,divorced,primary,126,unknown,3,jun,2,-1,0,unknown,0,1,0,1,40.93333333333333
35,admin.,married,secondary,-87,unknown,3,jun,7,-1,0,unknown,0,1,0,1,22.716666666666665
32,technician,single,tertiary,6281,unknown,3,jun,4,-1,0,unknown,0,1,0,1,22.266666666666666
45,management,divorced,secondary,644,unknown,4,jun,1,-1,0,unknown,0,1,0,1,10.55
30,admin.,divorced,secondary,377,unknown,4,jun,15,-1,0,unknown,0,1,0,1,8.733333333333333
29,services,single,secondary,-271,unknown,4,jun,1,-1,0,unknown,0,1,0,1,9.633333333333333
38,blue-collar,married,primary,5839,unknown,4,jun,2,-1,0,unknown,0,1,0,1,16.4
23,blue-collar,single,secondary,492,unknown,4,jun,1,-1,0,unknown,0,1,0,1,10.633333333333333
27,management,single,tertiary,99,unknown,4,jun,2,-1,0,unknown,0,1,0,1,12.783333333333333
27,management,single,tertiary,-713,unknown,4,jun,2,-1,0,unknown,1,1,0,1,8.75
29,services,single,secondary,32,unknown,4,jun,1,-1,0,unknown,0,1,0,1,9.383333333333333
30,self-employed,married,tertiary,543,unknown,4,jun,6,-1,0,unknown,0,1,1,1,24.15
36,blue-collar,married,primary,403,unknown,4,jun,1,-1,0,unknown,0,1,0,1,15.333333333333334
35,admin.,divorced,secondary,437,unknown,4,jun,1,-1,0,unknown,0,1,0,1,15.133333333333333
36,blue-collar,married,secondary,1772,unknown,5,jun,1,-1,0,unknown,0,1,0,0,3.466666666666667
59,retired,divorced,primary,-88,unknown,5,jun,2,-1,0,unknown,0,1,0,1,15.166666666666666
47,entrepreneur,married,secondary,0,unknown,5,jun,1,-1,0,unknown,0,1,0,0,24.1
58,entrepreneur,married,tertiary,853,unknown,5,jun,2,-1,0,unknown,0,1,0,0,19.15
37,management,single,tertiary,240,unknown,5,jun,1,-1,0,unknown,0,1,0,0,18.716666666666665
46,admin.,single,secondary,849,unknown,5,jun,2,-1,0,unknown,0,1,0,1,8.466666666666667
43,blue-collar,single,secondary,318,unknown,5,jun,2,-1,0,unknown,0,1,0,1,12.266666666666667
27,management,single,tertiary,703,unknown,5,jun,3,-1,0,unknown,0,1,0,1,9.833333333333334
38,services,divorced,secondary,61,unknown,5,jun,1,-1,0,unknown,0,1,0,0,10.6
53,housemaid,married,primary,104,unknown,5,jun,1,-1,0,unknown,0,1,1,0,11.683333333333334
47,blue-collar,married,secondary,1996,unknown,5,jun,2,-1,0,unknown,0,1,0,0,12.683333333333334
56,housemaid,divorced,primary,1238,unknown,5,jun,1,-1,0,unknown,1,1,0,0,25.966666666666665
41,housemaid,married,secondary,879,unknown,5,jun,2,-1,0,unknown,0,1,0,0,17.55
29,self-employed,married,secondary,425,unknown,5,jun,15,-1,0,unknown,0,1,0,1,9.366666666666667
50,technician,married,secondary,416,unknown,5,jun,5,-1,0,unknown,0,1,0,1,8.233333333333333
45,blue-collar,divorced,primary,844,unknown,5,jun,3,-1,0,unknown,0,1,0,0,16.966666666666665
35,blue-collar,married,secondary,860,unknown,5,jun,4,-1,0,unknown,0,1,0,1,14.733333333333333
26,technician,single,secondary,639,unknown,6,jun,5,-1,0,unknown,0,1,0,1,11.816666666666666
26,admin.,married,secondary,710,unknown,6,jun,2,-1,0,unknown,0,1,1,1,21.266666666666666
37,blue-collar,married,unknown,1508,unknown,6,jun,2,-1,0,unknown,0,1,1,0,6.35
30,admin.,single,secondary,223,unknown,6,jun,11,-1,0,unknown,0,1,0,1,14.366666666666667
38,management,single,tertiary,619,unknown,6,jun,4,-1,0,unknown,0,1,0,1,7.666666666666667
37,services,divorced,secondary,319,unknown,6,jun,3,-1,0,unknown,0,1,0,1,7.783333333333333
53,technician,married,secondary,480,unknown,6,jun,2,-1,0,unknown,0,1,0,0,10.8
29,blue-collar,single,primary,213,unknown,6,jun,3,-1,0,unknown,0,1,0,1,44.21666666666667
35,management,single,tertiary,68,unknown,6,jun,1,-1,0,unknown,0,1,0,0,18.083333333333332
28,blue-collar,married,secondary,2788,unknown,6,jun,2,-1,0,unknown,0,1,0,1,6.15
55,blue-collar,married,unknown,7561,unknown,6,jun,3,-1,0,unknown,0,1,0,0,11.416666666666666
49,management,divorced,secondary,-46,unknown,9,jun,10,-1,0,unknown,0,1,0,1,17.583333333333332
50,services,married,secondary,1595,unknown,9,jun,1,-1,0,unknown,0,1,0,0,14.7
43,management,single,tertiary,1046,unknown,9,jun,1,-1,0,unknown,0,1,0,0,15.016666666666667
58,self-employed,divorced,tertiary,1382,unknown,9,jun,1,-1,0,unknown,0,1,0,0,11.666666666666666
38,technician,married,primary,217,unknown,9,jun,6,-1,0,unknown,0,1,0,1,8.183333333333334
48,blue-collar,divorced,primary,183,unknown,9,jun,1,-1,0,unknown,0,1,0,0,15.666666666666666
59,management,married,secondary,1321,unknown,9,jun,3,-1,0,unknown,0,1,0,0,64.68333333333334
58,blue-collar,married,secondary,25,unknown,9,jun,3,-1,0,unknown,0,1,0,0,8.1
36,self-employed,single,tertiary,4844,unknown,9,jun,3,-1,0,unknown,0,1,0,0,18.95
42,entrepreneur,married,tertiary,5345,unknown,11,jun,3,-1,0,unknown,0,1,0,0,14.633333333333333
41,admin.,single,secondary,812,unknown,11,jun,4,-1,0,unknown,0,1,1,0,9.716666666666667
42,admin.,married,secondary,105,unknown,11,jun,4,-1,0,unknown,0,1,0,0,19.316666666666666
39,management,married,tertiary,-190,unknown,11,jun,8,-1,0,unknown,0,1,1,0,14.883333333333333
57,housemaid,married,primary,625,unknown,11,jun,1,-1,0,unknown,0,1,1,0,14.45
52,retired,married,unknown,293,unknown,11,jun,1,-1,0,unknown,0,1,0,0,11.766666666666667
59,retired,married,unknown,1033,unknown,11,jun,1,-1,0,unknown,0,1,0,0,19.983333333333334
56,blue-collar,married,secondary,1210,unknown,11,jun,1,-1,0,unknown,0,1,0,0,15.583333333333334
49,management,married,tertiary,64,unknown,11,jun,1,-1,0,unknown,0,1,0,0,9.766666666666667
